Symbol,Company Name,My Rating,Volatility Rankings,Quantitative Grade,Fundamental Grade,Sales Growth,Operating Margin Growth,Earnings Growth,Earnings Revisions,Earnings Surprises,Earnings Momentum,Cash Flow,Return on Equity,Market Cap ($B),Current P/E,Dividend Yield (%),52-Week High ($),52-Week Low ($),Last Year EPS ($),Last Qtr. Surprise (%),Next Qtr. Sales (M),Next Qtr. Sales Growth (%),Next Qtr. EPS ($),Next Qtr. Earnings Growth (%),Est. Long-Term Growth (%),Company Profile,Industry,No. of Companies in Industry,Market Cap Rank,Estimated Sales Rank,Earnings Rank,Long-Term Growth Rank
A,"Agilent Technologies, Inc.",D,Conservative,D,C,C,C,C,C,C,C,C,C,20,29.9,1,75,59,0.59,2.3,1,7.6,0.63,6.31,11.9,"Designs, manufactures and markets measurement and monitoring instruments",Biotechnology,336,11,104,16,30
AAL,"American Airlines Group, Inc.",F,Conservative,F,D,C,D,D,F,C,F,B,F,19,10.6,1,58,41,1.92,2.3,11,5.9,1.69,-11.82,12.9,Provides air transportation services for passengers and cargo,Airlines,19,5,10,8,15
AAXN,Axon Enterprise Inc,A,Moderate,A,A,B,A,A,A,A,A,B,C,3,676.5,0,68,21,0.04,500,95.8,20.3,0.05,25,170.4,Develops and manufactures advanced conducted electrical weapons and software,Aerospace & Defense,55,23,4,13,4
ABB,ABB Ltd. Sponsored ADR,F,Conservative,F,C,C,D,D,C,C,B,C,B,47,21.5,0,29,22,0.3,7.3,9,9,0.34,12.96,11.4,Operates as a power and automation technology company,Electrical Products,47,1,19,13,18
ABC,AmerisourceBergen Corporation,D,Conservative,F,C,C,D,D,D,C,C,C,A,20,20.2,2,105,73,1.43,7.7,42,10.8,1.47,2.75,10.3,Distributes pharmaceutical products,Medical Distributors,8,2,2,4,3
ABEV,Ambev SA Sponsored ADR,D,Conservative,D,C,C,D,D,F,F,A,D,B,75,32.8,2,7,5,0.04,-19.2,3,-3.3,0.04,8.82,10.8,Produces and distributes beers and other beverages,Beverages: Alcoholic,18,3,13,7,11
ABMD,"ABIOMED, Inc.",A,Conservative,A,B,A,A,A,B,B,D,C,B,18,215.8,0,446,140,0.82,22.2,173.8,31.2,0.82,0.24,39.6,"Manufactures cardiac support, recovery and replacement devices",Medical Specialties,169,14,28,44,16
ABX,Barrick Gold Corporation,F,Conservative,F,D,F,F,F,D,B,D,D,B,15,10.6,1,18,11,0.22,11.4,1,-9.8,0.15,-30.09,-2.2,Mines and explores for gold,Precious Metals,59,3,29,21,35
ACM,AECOM,D,Conservative,D,D,C,F,F,C,C,D,C,C,5,13.2,0,40,30,0.78,1.5,4,8.1,0.68,-13.41,6.1,"Provide planning, consulting, architectural and engineering design, and program and construction management services",Engineering & Construction,26,3,8,15,22
ADBE,Adobe Systems Incorporated,A,Conservative,A,B,B,B,A,B,C,F,C,A,120,71.9,0,258,138,1.1,7.6,2,22.2,1.68,53,30.4,Develops software solutions for web and print publishing,Packaged Software,87,4,20,8,23
ADNT,Adient plc,F,Conservative,F,D,C,F,F,F,D,C,F,C,4,9,2,86,48,2.52,-2.9,4,8,1.78,-29.5,6.2,Manufactures automotive seating systems,Auto Parts: OEM,28,8,16,21,22
ADS,Alliance Data Systems Corporation,D,Conservative,F,C,D,C,C,C,C,F,C,A,13,16.8,1,276,195,3.84,4.9,1,6.5,4.66,21.42,15,"Provides transaction, credit and marketing, and market research services",Data Processing Services,37,10,21,10,18
AEG,AEGON N.V. ADR,B,Conservative,B,B,B,A,A,D,C,D,A,B,12,4.7,4,7,5,0.22,0,0,0,0.19,-14.78,-9.1,"Manages pension funds and provides life, accident, and health insurance",Multi-Line Insurance,16,7,0,9,14
AEL,American Equity Investment Life Holding Company,B,Conservative,B,B,D,A,A,C,C,D,A,B,3,18.6,0,37,25,0.71,0.9,573.6,-29.6,0.85,19.75,19.5,Develops and markets fixed index and fixed rate annuity products,Life/Health Insurance,24,13,16,5,5
AEO,"American Eagle Outfitters, Inc.",A,Conservative,A,B,C,B,B,B,C,A,C,A,4,21.4,3,25,11,0.19,5.3,927.1,9.8,0.29,52.07,12.2,"Operates as a specialty retailer that provides clothing, accessories, and personal care products under the American Eagle Outfitters and Aerie brands.",Apparel/Footwear Retail,37,14,10,6,18
AEP,"American Electric Power Company, Inc.",D,Conservative,D,D,D,D,D,C,D,F,F,B,33,17.4,4,78,63,0.75,-2.3,3,7.2,0.84,12.28,5.6,Generates and transmits electric power,Electric Utilities,69,7,12,11,31
AGN,Allergan plc,F,Conservative,F,C,D,C,C,B,B,A,D,D,58,0,2,256,144,4.02,11.4,3,-2.7,4.1,1.96,4.4,Manufactures pharmaceutical products,Pharmaceuticals: Generic,15,1,7,5,5
AIG,"American International Group, Inc.",F,Conservative,F,D,F,D,D,F,F,D,A,D,48,0,2,66,52,1.53,-17.7,11,0,1.24,-19.02,45.2,"Operates as a global insurance company, which provides property casualty insurance, life insurance, retirement products, mortgage insurance and other financial services",Multi-Line Insurance,16,4,0,10,4
AIT,"Applied Industrial Technologies, Inc.",B,Conservative,B,B,B,C,C,B,B,F,B,A,2,20,2,76,54,1.34,8.1,882.9,29.6,1,-25.52,17.7,"Distributes bearings, power transmission components and other industrial products",Wholesale Distributors,43,11,3,22,19
ALGN,"Align Technology, Inc.",A,Moderate,A,B,A,C,B,B,B,D,C,A,28,124.4,0,370,149,0.85,20,470.8,32.1,1.08,27.07,25,"Designs, manufactures and markets the invisalign system for treating malocclusion",Medical Specialties,169,11,26,11,24
ALK,"Alaska Air Group, Inc.",F,Conservative,F,D,D,F,F,F,B,F,F,A,7,7.6,2,95,58,2.51,19,2,4.5,1.65,-34.17,10.8,"Operates as a holding company, which through its subsidiaries, provides air transportation services",Airlines,19,6,12,12,17
ALXN,"Alexion Pharmaceuticals, Inc.",D,Conservative,D,C,C,B,B,B,B,D,C,C,28,65.1,0,147,106,1.56,11.9,977.8,7.2,1.7,8.66,19.9,Develops biologic therapeutic products,Biotechnology,336,9,105,14,23
AMCX,AMC Networks Inc.,B,Conservative,B,B,D,C,B,B,B,F,B,A,3,9.1,0,68,48,1.88,20.9,731.8,3,1.97,4.73,8.7,Owns and operates cable television networks through its subsidiaries,Cable/Satellite TV,15,14,11,10,12
AMED,"Amedisys, Inc.",B,Moderate,B,B,C,A,A,B,B,B,B,C,2,98.8,0,88,46,0.62,17.8,404.1,6.7,0.78,25.81,25.9,"Amedisys, Inc., together with its subsidiaries, provides healthcare services in the United States. It operates through three segments: Home Health, Hospice, and Personal Care. ",Medical/Nursing Services,22,6,14,8,6
AMG,"Affiliated Managers Group, Inc.",D,Conservative,F,C,C,C,B,D,C,F,C,A,9,12.8,0,216,153,3.33,0.8,607.4,6.4,3.64,9.42,10.3,Provides investment management services,Investment Managers,58,9,26,26,20
AMGN,Amgen Inc.,D,Conservative,D,C,D,C,C,B,B,F,C,B,123,72,3,198,166,3.27,7.8,5,-1,3.54,8.21,5.6,"Develops, manufactures and markets human therapeutic products based on cellular biology",Biotechnology,336,1,118,15,35
AMZN,"Amazon.com, Inc.",A,Conservative,A,B,A,A,A,A,A,D,D,B,832,279.3,0,1,939,0.4,163,53,40.7,2.47,518.03,98.2,"Amazon.com, Inc. engages in the retail sale of consumer products and subscriptions in North America and internationally. ",Internet Retail,14,1,3,1,3
ANDV,Andeavor,B,Moderate,A,B,A,A,A,C,B,F,D,B,20,13.7,2,150,90,1.76,11,11,52.5,3.27,85.95,20.5,Engages in the refining and marketing of petroleum products,Oil Refining/Marketing,19,4,2,5,13
ANET,"Arista Networks, Inc.",B,Conservative,A,B,A,B,B,B,B,F,C,A,20,109.5,0,308,143,1.34,9.9,510.2,25.9,1.7,27.02,20.1,"Arista Networks, Inc. provides cloud networking solutions in the Americas, Europe, the Middle East, Africa, and the Asia-Pacific. ",Computer Communications,21,2,3,4,6
AOS,A. O. Smith Corporation,D,Conservative,D,C,C,C,C,C,C,D,C,A,10,35.5,1,68,53,0.53,4,806.1,9.2,0.61,15.78,13.3,Manufactures and markets residential and commercial water heaters and boilers,Building Products,33,2,16,21,25
APA,Apache Corporation,D,Moderate,D,C,B,D,D,A,B,F,F,B,17,13.2,3,50,34,-0.21,8.1,1,27.5,0.4,0,211.6,"Explores, develops and produces natural gas, crude oil and natural gas",Oil & Gas Production,130,15,46,0,10
APPF,AppFolio Inc,A,Moderate,A,B,A,A,A,A,A,C,D,B,2,233.9,0,67,31,0.08,500,45.5,27,0.13,62.5,23.3,Provides web-based property management software,Information Technology Services,110,44,27,6,38
ARCC,Ares Capital Corporation,B,Conservative,B,B,C,A,A,C,C,B,C,B,7,10.5,10,17,15,0.34,2.6,322.7,13.6,0.39,15.49,10.2,"Ares Capital Corporation is a business development company specializing in acquisition, recapitalization, mezzanine debt, restructurings, rescue financing, and leveraged buyout transactions of middle market companies.",Investment Trusts/Mutual Funds,27,1,11,7,3
ARMK,Aramark,F,Conservative,F,C,C,F,F,B,C,D,D,A,9,17.8,1,46,37,0.4,4,3,8.9,0.48,19.52,14.8,Operates as a holding company with interests in food services and facilities management,Restaurants,54,9,21,14,19
ARRY,Array BioPharma Inc.,A,Moderate,A,B,A,C,C,A,A,B,D,F,4,0,0,20,7,-0.17,50.4,37.7,11.6,-0.26,0,0,Develops & commercializes biopharmaceutical drugs,Biotechnology,336,34,95,0,0
ATHM,"Autohome, Inc. Sponsored ADR",A,Moderate,A,B,D,A,B,B,B,C,C,C,13,45,0,119,45,0.66,20.8,274.5,17.4,0.82,23.85,23.3,Operates and maintain websites for automobile and digital device information,Internet Software/Services,91,11,29,19,31
ATI,Allegheny Technologies Incorporated,B,Conservative,B,B,C,A,A,B,A,F,B,D,3,0,0,30,16,0.09,32.6,976.8,11,0.34,279.02,89.6,Manufactures steel and specialty metals,Steel,26,12,16,5,6
AVB,"AvalonBay Communities, Inc.",D,Conservative,F,D,C,D,D,C,D,F,D,C,23,26.9,3,194,154,1.2,-2.3,565.3,6.6,1.06,-11.58,-8.7,"Acquires, develops, builds and manages multifamily apartment communities",Real Estate Investment Trusts,226,9,93,108,147
AVT,"Avnet, Inc.",D,Conservative,D,D,C,F,F,C,C,F,F,D,5,22.9,2,45,36,0.84,6.3,4,4.9,0.97,16.06,9.3,"Distributes electronic components, enterprise computing and storage products, and embedded subsystems",Electronics Distributors,12,3,5,5,6
AYI,"Acuity Brands, Inc.",F,Moderate,F,C,D,B,B,D,D,F,B,A,4,16.7,0,207,110,2.15,-8.3,900.1,0.9,2.16,0.26,9.2,"Designs, produces and distributes indoor and outdoor lighting fixtures",Electrical Products,47,6,28,15,22
AZN,Astrazeneca PLC Sponsored ADR,D,Conservative,D,D,F,D,D,C,D,C,F,A,88,29.3,0,37,29,0.44,-15.4,5,6.1,0.39,-9.95,4.6,Engages in manufacturing of pharmaceutical products,Pharmaceuticals: Major,47,11,11,15,12
B,Barnes Group Inc.,D,Conservative,D,C,C,D,C,C,C,D,B,C,3,55.7,1,72,53,0.81,6.2,383.6,5.3,0.75,-7.61,8.8,Provides logistic services and manufactures precision components,Industrial Machinery,62,18,33,38,42
BA,Boeing Company,A,Conservative,A,B,C,B,A,B,A,F,C,A,197,25.2,2,372,197,2.55,41.8,23,4.9,3.46,35.56,18.9,"Develops and manufactures jetliners, aircraft and related products",Aerospace & Defense,55,1,23,7,19
BAH,Booz Allen Hamilton Holding Corporation,B,Conservative,A,B,D,B,B,B,B,D,B,A,6,23.4,2,46,32,0.53,13.5,1,6.3,0.58,9.86,15.7,Operates as a holding company which offers management & technology consulting services,Miscellaneous Commercial Services,96,17,34,37,38
BB,BlackBerry Limited,D,Conservative,D,D,F,F,F,B,C,F,D,D,5,14.1,0,14,9,0.05,0,210.5,-15.5,0.01,-75.29,38.1,Develops hardware and software solutions for mobile communications,Telecommunications Equipment,55,9,32,26,13
BBBY,Bed Bath & Beyond Inc.,D,Conservative,F,C,D,D,D,F,C,D,B,B,2,5.8,3,31,17,0.53,5.6,2,0.3,0.31,-40.65,-12.9,Owns and operates chain of home furnishings stores,Specialty Stores,50,16,34,33,43
BEN,"Franklin Resources, Inc.",F,Conservative,F,C,D,C,C,C,C,D,C,C,17,28.1,2,47,32,0.73,4.6,1,-2,0.75,2.58,3.2,"Provides investment management, marketing and administration services to investment companies",Investment Managers,58,5,33,34,38
BIDU,"Baidu, Inc. Sponsored ADR",B,Conservative,B,B,A,A,A,A,A,F,C,A,71,33.2,0,284,176,2.37,55.3,3,28.9,2.57,8.48,14.2,Operates an Internet search engine,Internet Software/Services,91,4,19,29,41
BIO,"Bio-Rad Laboratories, Inc.",B,Conservative,B,A,C,A,A,A,A,A,A,B,8,78.3,0,304,212,0.17,2,548.4,8.7,1.2,607.88,35,Manufactures and distributes life science research products and clinical diagnostics,Medical Specialties,169,26,74,2,20
BIP,Brookfield Infrastructure Partners L.P.,D,Conservative,D,C,A,C,C,F,B,A,F,D,10,968.3,4,46,38,-0.06,11.2,846.4,-9.4,0.38,0,1.4,"Owns and operates utilities, transport, energy and communications infrastructure assets",Electric Utilities,69,25,48,0,50
BKI,"Black Knight, Inc.",B,Conservative,A,B,D,A,B,C,B,A,C,B,8,37,0,54,40,0.35,8.2,278.5,5.7,0.44,24.81,20.1,Functions as an investment holding company whose subsidiaries provides data analytics to the mortgage industry,Information Technology Services,110,20,69,19,43
BKU,"BankUnited, Inc.",B,Conservative,B,B,B,B,B,B,C,D,C,A,4,7.7,2,44,31,0.6,6.5,286.4,6.3,0.78,30.08,-17.4,Operates as a bank holding company and engages in providing commercial banking services,Regional Banks,300,44,143,75,233
BLKB,"Blackbaud, Inc.",B,Conservative,B,B,C,B,B,C,B,C,D,A,5,78.8,0,111,83,0.54,11,214.8,11.6,0.67,23.15,17.2,Provides software and related services for non-profit organizations,Packaged Software,87,29,36,22,37
BMY,Bristol-Myers Squibb Company,D,Conservative,D,C,D,D,D,B,B,B,B,C,90,93.5,2,69,51,0.74,10.9,5,5.4,0.86,16.6,11,Manufactures pharmaceuticals products,Pharmaceuticals: Major,47,10,12,4,4
BNS,Bank of Nova Scotia,D,Conservative,D,C,B,D,C,D,C,F,B,B,69,11.6,4,66,57,1.34,0.2,5,1.1,1.35,0.84,6.7,"Operates as a diversified financial services institution that provides a wide range of financial products and services to retail, commercial and corporate customers",Major Banks,44,12,26,33,31
BP,BP p.l.c. Sponsored ADR,B,Conservative,A,B,B,B,B,A,B,D,F,C,152,43.9,6,48,34,0.21,17,22,-61.3,0.8,286.38,27.8,"Explores, produces, refines and distributes petroleum, natural gas and related products",Integrated Oil,21,5,21,5,8
BPL,"Buckeye Partners, L.P.",F,Conservative,F,D,B,D,D,D,D,D,F,B,5,10.9,13,66,36,0.8,-7.4,815.5,0.7,0.74,-8.07,2.2,Operates oil pipelines and provides petroleum storage services,Oil & Gas Pipelines,55,22,44,34,42
BPY,Brookfield Property Partners LP,F,Conservative,F,C,D,C,C,D,C,A,C,C,4,40.7,6,25,19,0.31,0,1,-14.6,0,0,125.3,Real Estate Agents And Managers,Real Estate Development,45,4,21,0,1
BR,"Broadridge Financial Solutions, Inc.",A,Conservative,A,B,D,B,B,B,A,D,D,A,13,37.1,1,120,72,1.71,27.1,1,-2.3,1.87,9.36,17.5,Provides investor communications and technology-driven solutions,Miscellaneous Commercial Services,96,9,65,39,32
BRO,"Brown & Brown, Inc.",B,Conservative,A,B,C,B,B,B,B,B,C,B,7,20.2,1,29,21,0.23,9.1,472.8,1.4,0.28,20.34,1.6,Provides insurance brokerage services and casualty insurance underwriting services,Insurance Brokers/Services,13,6,10,3,11
BTI,British American Tobacco PLC Sponsored ADR,F,Conservative,F,C,C,C,C,D,C,C,C,C,59,1.1,0,72,48,0,0,0,0,0,0,6.1,Produces and retails tobacco related products,Tobacco,7,3,0,0,5
BUD,Anheuser-Busch InBev SA/NV Sponsored ADR,F,Conservative,F,C,C,C,C,D,D,C,C,C,159,24.2,0,126,92,0.95,-5.9,14,-0.4,1.15,21.08,14.7,Operates as a holding company whose subsidiaries manufactures and distributes alcoholic and non-alcoholic beverages,Beverages: Alcoholic,18,1,12,3,4
BURL,"Burlington Stores, Inc.",A,Conservative,A,B,C,B,B,B,B,F,C,A,10,27.1,0,156,80,0.72,15.8,1,9.5,0.95,32.25,23.1,"Provides men's, women's and children's apparel",Apparel/Footwear Retail,37,9,11,7,4
BWXT,"BWX Technologies, Inc.",B,Conservative,A,B,C,C,C,B,B,C,B,A,6,42.7,1,71,46,0.56,9.3,447.3,9.1,0.6,7.86,17.5,Provides components and services to nuclear power industry,Aerospace & Defense,55,16,15,26,22
BX,Blackstone Group L.P.,D,Conservative,D,C,F,C,D,D,A,D,D,A,21,14.9,8,37,31,0.59,37.5,1,14.3,0.73,23.63,6.3,Provides investment and fund management services,Investment Managers,58,4,11,15,30
BYD,Boyd Gaming Corporation,B,Conservative,B,B,D,B,C,B,B,A,C,A,4,22.3,1,40,24,0.26,12.2,606.3,1.1,0.35,35.96,17.5,Owns and operates casino hotels and casinos,Casinos/Gaming,25,9,14,8,15
BZUN,Baozun Inc Sponsored ADR,B,Moderate,A,B,B,B,B,B,F,A,D,B,3,106.2,0,66,22,0.08,-22.8,163.2,24.5,0.1,19.75,65.4,Provides e-commerce solutions,Miscellaneous Commercial Services,96,29,13,23,7
C,Citigroup Inc.,D,Conservative,D,C,C,C,C,C,C,D,A,D,171,0,2,80,63,1.28,4.1,18,3.8,1.57,23,17.7,Provides banking services,Financial Conglomerates,38,2,7,6,5
CACI,CACI International Inc,B,Conservative,A,B,D,A,B,B,A,F,C,B,4,16.1,0,173,123,1.76,39.6,1,3.2,1.77,0.71,21.5,Provides professional services and information technology solutions,Information Technology Services,110,32,76,41,39
CAE,CAE Inc.,B,Conservative,B,B,C,B,B,C,B,A,C,B,5,20.2,1,21,16,0.19,13,567.2,3.1,0.22,14.99,10.7,"Provides simulation and modeling technologies and training services to the civil aviation, defense sectors, healthcare and mining markets",Aerospace & Defense,55,18,28,21,37
CAJ,Canon Inc. Sponsored ADR,D,Conservative,D,C,D,C,C,D,C,D,D,C,36,16.9,0,40,32,0.57,1.9,9,6.9,0.58,1.78,5.3,"Manufactures and sells digital multifunction devices, plain paper copying machines, laser beam printers, jet printers, cameras and steppers and aligners",Electronic Equipment/Instruments,56,1,25,16,30
CALM,"Cal-Maine Foods, Inc.",A,Conservative,A,A,A,A,A,A,A,A,B,C,2,0,0,51,34,-0.51,32.1,437.3,59.3,1.27,0,-6.4,"Produces, grades, packs and markets fresh shell eggs",Food: Specialty/Candy,33,12,1,0,19
CARS,"Cars.com, Inc.",D,Conservative,D,D,D,F,F,F,F,C,D,B,2,9.2,0,32,22,0.35,-94.4,172.9,10.4,0.25,-27.62,-6.3,Operates an online destination for car shoppers,Internet Software/Services,91,35,44,42,57
CAT,Caterpillar Inc.,B,Conservative,B,B,A,A,A,A,A,F,B,B,83,111.5,2,171,104,1.49,33.1,13,23.2,2.71,81.93,25.8,"Manufactures construction and mining equipment, diesel and natural gas engines and industrial gas turbines",Trucks/Construction/Farm Machinery,37,1,6,5,20
CB,Chubb Limited,F,Conservative,F,D,D,D,D,D,C,F,C,C,58,15.3,2,156,125,2.5,0.9,7,-1.3,2.62,4.7,20.5,Operates as a holding company for a family of property and casualty insurance companies,Property/Casualty Insurance,54,1,27,26,27
CBRL,"Cracker Barrel Old Country Store, Inc.",D,Conservative,D,C,D,C,C,C,C,F,C,A,3,20.1,5,178,142,2.23,3.9,827.6,11.4,2.7,21.08,7.1,Operates Cracker Barrel restaurants through its subsidiary,Restaurants,54,13,16,10,35
CBSH,"Commerce Bancshares, Inc.",B,Conservative,B,B,C,B,B,B,B,D,C,B,7,22.8,1,67,50,0.71,16.4,320.2,2,0.89,24.59,13.4,Operates as a bank holding company for Commerce Bank,Regional Banks,300,24,188,111,186
CC,Chemours Co.,B,Conservative,B,B,B,A,A,A,B,F,B,A,8,11.9,1,57,35,0.87,15.9,1,15.5,1.6,84.13,25.4,Provides performance chemicals,Industrial Specialties,35,3,8,5,7
CCMP,Cabot Microelectronics Corporation,B,Conservative,B,B,B,B,B,B,B,D,C,B,2,45.7,1,119,68,0.81,12,146.6,14.6,1.2,47.85,22.4,Manufactures polishing compounds and polishing pads for the semiconductor industry,Industrial Specialties,35,10,9,8,10
CDEV,"Centennial Resource Development, Inc.",B,Conservative,B,B,A,A,A,A,A,C,F,C,4,58.4,0,22,14,0.09,39.2,232.5,155.3,0.22,141.11,90.7,Operates as investment holding company with interest in the oil and natural gas,Oil & Gas Production,130,31,4,23,31
CDW,CDW Corp.,B,Conservative,B,B,C,A,A,B,B,D,C,A,12,25.2,1,85,59,1.03,14.4,4,4,1.28,24.11,14.7,Engages in providing information technology solutions,Information Technology Services,110,15,73,21,53
CELG,Celgene Corporation,F,Moderate,F,C,B,D,D,C,C,F,C,A,57,22,0,147,75,1.82,4.7,3,12.8,2.1,15.36,18.1,Develops human pharmaceuticals and agrochemicals,Biotechnology,336,4,90,10,24
CEO,CNOOC Limited Sponsored ADR,B,Conservative,A,B,C,C,C,A,C,C,C,C,72,20.1,0,185,109,0,0,0,0,0,0,37.7,"Operates as an investment holding company, which explores and produces oil and natural gas",Oil & Gas Production,130,2,0,0,55
CERN,Cerner Corporation,F,Conservative,F,D,D,D,D,D,D,D,D,A,19,23.3,0,74,55,0.61,-0.4,1,2.8,0.6,-1.59,9.8,"Provides healthcare information technology solutions, healthcare devices and related services",Information Technology Services,110,10,77,45,66
CGNX,Cognex Corporation,D,Moderate,D,C,B,D,D,F,C,C,C,B,7,45.9,0,72,42,0.32,7.4,205.2,18.7,0.31,-2.78,12.9,"Develops, manufactures and markets machine vision computer systems",Electronic Production Equipment,39,7,13,24,27
CHE,Chemed Corporation,A,Conservative,A,B,C,B,B,B,B,D,B,A,5,54.8,0,333,187,2.15,15.1,434.3,4.6,2.77,28.84,19.8,Operates as a holding company,Medical/Nursing Services,22,3,16,5,10
CHKP,Check Point Software Technologies Ltd.,F,Conservative,F,C,D,C,C,D,C,F,B,A,15,19.8,0,119,96,1.26,1.8,461.4,0.6,1.31,3.7,7.4,Develops network security software products,Internet Software/Services,91,8,60,35,49
CHL,China Mobile Limited Sponsored ADR,F,Conservative,F,C,C,C,C,C,C,C,C,C,180,10.69,0,57,44,0,0,32,7,0,0,2.5,Operates as an investment holding company with interest in providing mobile telecommunications and related services,Wireless Telecommunications,25,1,4,0,13
CHTR,"Charter Communications, Inc.",D,Conservative,F,C,D,C,C,F,A,B,F,A,71,8.2,0,403,261,0.52,52.9,10,4.6,0.93,78.21,81.4,Provides broadband communications services,Cable/Satellite TV,15,3,9,3,3
CHU,China Unicom (Hong Kong) Limited Sponsored ADR,D,Conservative,F,C,C,C,C,D,C,C,C,C,38,121.5,0,16,12,0.09,0,11,11.1,0.19,112.05,133.4,"Operates as an investment holding company, which provides cellular, fixed line and broadband services",Major Telecommunications,19,4,4,1,2
CIEN,Ciena Corporation,D,Conservative,D,D,D,F,F,F,F,F,A,A,3,3.1,0,27,20,0.51,-23.5,791.9,8.7,0.36,-29.66,9.3,"Provides communication network equipment, associated software and professional services",Telecommunications Equipment,55,15,19,21,28
CIGI,Colliers International Group Inc.,A,Conservative,A,A,A,A,A,A,A,B,C,A,2,59,0,77,48,0.76,27.8,642.5,18.1,0.86,13.68,18.8,Provides real estate services,Real Estate Development,45,9,7,12,8
CL,Colgate-Palmolive Company,F,Conservative,F,D,D,C,C,C,C,D,C,F,56,28.3,2,78,62,0.72,2,3,4.4,0.79,9.1,7.3,"Manufactures and sells oral, personal, and household products",Household/Personal Care,25,4,11,7,14
CLGX,"CoreLogic, Inc.",B,Conservative,B,B,D,A,A,B,B,C,C,B,4,30.1,0,55,42,0.72,23.8,477.1,0.7,0.8,10.69,15.3,"Provides property, financial and consumer information analysis and services",Data Processing Services,37,15,24,15,16
CLR,"Continental Resources, Inc.",A,Moderate,A,B,A,A,A,A,C,D,D,A,24,31.4,0,69,30,0,5.4,1,86.6,0.75,0,178.4,"Explores, exploits & develops oil and gas reserves",Oil & Gas Production,130,9,14,0,14
CLX,Clorox Company,D,Conservative,D,C,D,C,C,C,C,F,C,A,16,21.3,3,150,115,1.53,4.8,1,4.6,1.6,4.59,8.3,Manufactures and distributes detergent and cleaning products,Household/Personal Care,25,7,10,11,11
CMA,Comerica Incorporated,B,Conservative,B,B,C,B,B,B,C,F,B,B,16,23,1,102,64,1.13,5.7,832.9,7.3,1.64,45.28,20.5,Provides banking and financial services,Major Banks,44,32,10,4,11
CMCSA,Comcast Corporation,F,Conservative,F,C,C,C,C,C,C,D,D,A,156,7.1,2,43,31,0.52,5.1,21,3.3,0.6,15.78,15.6,"Provides entertainment, information and communications products and services",Cable/Satellite TV,15,2,10,8,8
CMI,Cummins Inc.,F,Conservative,F,C,B,D,D,B,F,F,C,B,22,22.9,3,193,135,2.53,-17.1,5,14.6,3.63,43.48,10.5,"Designs, manufactures and markets diesel and natural gas engines",Trucks/Construction/Farm Machinery,37,3,17,12,31
CNC,Centene Corporation,B,Conservative,A,B,C,A,A,C,B,F,C,B,22,26.8,0,126,79,1.59,13.2,13,15.7,1.77,11.01,22.7,Operates as a multi-line healthcare enterprise,Managed Health Care,11,6,2,6,1
CNK,"Cinemark Holdings, Inc.",D,Conservative,D,D,D,D,D,D,D,D,D,B,4,15.8,3,43,32,0.44,-13.9,875.7,16.6,0.72,62.59,7.3,Owns and operates movie theaters,Movies/Entertainment,40,16,1,4,19
COG,Cabot Oil & Gas Corporation,D,Conservative,D,C,F,B,C,C,C,C,D,C,10,105,1,29,22,0.14,3.7,383.5,-16.7,0.19,36.02,57.2,"Explores for, produces, stores, transports, purchases, and markets natural gas",Oil & Gas Production,130,20,82,35,43
COLM,Columbia Sportswear Company,A,Conservative,A,B,C,C,C,B,A,D,B,C,6,61.1,1,93,55,-0.13,32.6,445.8,11.8,-0.1,0,12.3,Distributes apparel and equipment for outdoor activities,Apparel/Footwear,31,7,5,0,16
COP,ConocoPhillips,B,Conservative,A,B,B,B,B,A,A,B,D,D,79,0,2,71,43,0.14,31.8,9,16.6,0.99,608.89,189.3,"Explores, produces, refines & wholesales oil and natural gas",Oil & Gas Production,130,1,56,8,13
COTY,Coty Inc.,D,Moderate,D,C,C,C,C,D,C,A,F,D,11,0,3,22,13,0,4.2,2,3.7,0.14,0,17.4,"Manufactures and markets beauty products, fragrances, color cosmetics and skin care products",Household/Personal Care,25,9,12,0,5
COUP,"Coupa Software, Inc.",A,Moderate,A,B,A,C,C,A,A,B,B,F,3,0,0,64,29,-0.1,91.1,56.6,27.1,-0.09,0,25,Develops and provides cloud-based financial applications,Packaged Software,87,34,12,0,1
CPB,Campbell Soup Company,D,Conservative,F,D,B,F,F,D,B,F,F,A,11,13.5,3,54,33,0.52,15.8,2,35.3,0.25,-51.98,-1.7,"Manufactures and markets convenience food products, such as soups and sauces, pasta, broths, vegetable-beverages, cookies and biscuits",Food: Major Diversified,9,6,1,9,9
CPRT,"Copart, Inc.",A,Conservative,A,B,B,C,B,B,C,B,C,A,13,46.8,0,60,30,0.35,6.3,445.1,17.6,0.48,37.14,21.7,Provides online auctions and vehicle remarketing services,Miscellaneous Commercial Services,96,8,18,14,24
CQP,"Cheniere Energy Partners, L.P.",B,Conservative,B,B,A,B,A,B,B,C,F,D,17,0,6,37,27,0.81,14.1,1,44.3,0.56,-30.71,-3.5,"Develops, owns and operates the liquefied natural gas",Oil & Gas Pipelines,55,10,9,42,46
CRM,"salesforce.com, inc.",A,Conservative,A,B,B,C,C,A,A,A,C,C,99,794.2,0,140,86,0.33,62.2,3,26.1,0.47,42.55,39.1,Develops on-demand customer relationship management software technology,Packaged Software,87,5,16,13,15
