Symbol,Company Name,My Rating,Volatility Rankings,Quantitative Grade,Fundamental Grade,Sales Growth,Operating Margin Growth,Earnings Growth,Earnings Revisions,Earnings Surprises,Earnings Momentum,Cash Flow,Return on Equity,Market Cap ($B),Current P/E,Dividend Yield (%),52-Week High ($),52-Week Low ($),Last Year EPS ($),Last Qtr. Surprise (%),Next Qtr. Sales (M),Next Qtr. Sales Growth (%),Next Qtr. EPS ($),Next Qtr. Earnings Growth (%),Est. Long-Term Growth (%),Company Profile,Industry,No. of Companies in Industry,Market Cap Rank,Estimated Sales Rank,Earnings Rank,Long-Term Growth Rank
VIRT,"Virtu Financial, Inc.",A,Moderate,A,A,A,A,A,A,A,A,A,A,2,135.5,3,37,13,0.13,25.1,268.9,248.9,0.49,278.05,99.9,Provides brokerage services,Investment Banks/Brokers,43,22,1,2,3
VMC,Vulcan Materials Company,D,Conservative,D,C,C,C,C,B,A,D,D,B,17,29.5,1,141,111,0.9,120,1,12.1,1.35,50.14,29.1,Produces and distributes construction aggregates and other construction materials,Construction Materials,18,2,9,4,6
VMW,"VMware, Inc.",B,Conservative,B,B,B,A,A,B,B,D,C,B,60,111.1,0,152,86,1.19,9.9,2,12.8,1.49,25.46,13.2,Provides virtual infrastructure software and systems services,Information Technology Services,110,3,45,18,56
VNO,Vornado Realty Trust,D,Conservative,D,D,F,F,F,F,D,C,D,C,14,87.8,4,97,65,0.43,0,534.9,-14.6,0.39,-9.87,17.6,Operates as a real estate investment trust,Real Estate Investment Trusts,226,20,190,102,41
VNOM,Viper Energy Partners LP,A,Conservative,A,B,A,C,A,B,C,D,F,B,3,28.3,6,33,15,0.23,4.9,66.5,81.5,0.35,52.5,25.8,Explores petroleum and gas,Oil & Gas Production,130,39,16,33,67
VOD,Vodafone Group Plc Sponsored ADR,F,Conservative,F,C,C,C,C,D,C,C,C,C,66,24.24,0,32.67,24.5,0,0,0,0,0,0,11.29,Provides mobile telecommunication services,Wireless Telecommunications,25,2,0,0,11
VSH,"Vishay Intertechnology, Inc.",B,Conservative,B,B,B,B,B,A,B,C,B,D,3,0,1,25,17,0.36,9.8,764.3,18.5,0.46,28.37,3,Manufactures and markets electronic components and semiconductors,Electronic Components,53,9,9,7,29
VTR,"Ventas, Inc.",F,Conservative,F,D,C,F,D,F,F,C,D,C,19,31.2,6,72,47,0.42,-47.9,903.8,0.9,0.37,-11.11,-2.8,Acquires and owns seniors housing and healthcare properties,Real Estate Investment Trusts,226,13,135,106,129
WBA,Walgreens Boots Alliance Inc,D,Conservative,F,C,C,C,B,B,B,D,C,B,67,18.7,2,83,62,1.33,11.7,34,13.5,1.48,11.02,11.7,Provides drug store services,Drugstore Chains,6,2,1,3,2
WCG,"WellCare Health Plans, Inc.",B,Conservative,B,B,B,B,B,B,A,F,C,B,10,29.4,0,244,164,2.52,24.1,4,8.2,3.01,19.39,16.4,Provides managed care services to government-sponsored healthcare programs,Managed Health Care,11,7,4,4,7
WDC,Western Digital Corporation,D,Conservative,F,D,C,F,F,B,B,F,D,D,23,65.9,2,106,77,2.93,9.7,5,4.6,3.51,19.69,15.9,"Designs, manufactures and sells hard drives",Computer Peripherals,22,1,9,5,5
